7.00993604712e+23	6.99225201275e+23	1.90967055174e+17	1.3262497776e+17	9.17628389056e+18	1.21501640571e+18	1.84936980914e+19	7.95258638483e+17	1.22171135159e+19	1.24809594311e+18	
1.408459481e+24	1.40490634647e+24	3.83697308522e+17	2.6647448149e+17	1.84372923792e+19	2.44125105378e+18	3.71581484347e+19	1.59785989728e+18	2.45470275996e+19	2.50771555185e+18	
2.82992325866e+24	2.82278418352e+24	7.70937291641e+17	5.35409320026e+17	3.7043019091e+19	4.9048042168e+18	7.46593777972e+19	3.21047282396e+18	4.93206977354e+19	5.03858482405e+18	
5.52908405717e+24	5.51502278447e+24	1.54841043778e+18	1.07535773558e+18	7.17741756481e+19	9.50349930839e+18	1.50008084695e+20	6.4505879033e+18	9.90967728555e+19	1.01236908387e+19	
9.96166406319e+24	9.93648911837e+24	2.9755635455e+18	2.0665029421e+18	1.28160399944e+20	1.69695038631e+19	3.01401190817e+20	1.29607339463e+19	1.99108504088e+20	2.03408534977e+19	
1.67368284012e+25	1.66968078441e+25	5.27069316657e+18	3.6604510422e+18	2.13711368277e+20	2.82971536526e+19	6.05585208074e+20	2.60411338867e+19	4.0005536989e+20	4.08695133699e+19	
2.66225329724e+25	2.6563668314e+25	8.74292126798e+18	6.07188736464e+18	3.3961560403e+20	4.49678866254e+19	1.21676174905e+21	5.23227040433e+19	8.03804427673e+20	8.21163725726e+19	
4.0887734464e+25	4.08047428097e+25	1.38198975147e+19	9.59781107134e+18	5.18513390006e+20	6.86553659768e+19	2.42616357918e+21	1.04328922693e+20	1.61503030574e+21	1.64990917861e+20	
6.08930348363e+25	6.07813204843e+25	2.10833479522e+19	1.46422270943e+19	7.70649385734e+20	1.0204011719e+20	4.51419871654e+21	1.941177861e+20	3.24497194106e+21	3.31505171813e+20	
8.90501321618e+25	8.89039765935e+25	3.12208148763e+19	2.168263208e+19	1.12178424904e+21	1.48533017933e+20	7.7775653307e+21	3.34447698396e+20	6.45492826885e+21	6.59433182825e+20	
1.27660018432e+26	1.27467744164e+26	4.53128581822e+19	3.14694642075e+19	1.60918741966e+21	2.13068764503e+20	1.26350343929e+22	5.43326315816e+20	1.19416818588e+22	1.219957999e+21	
1.79206777477e+26	1.78960335784e+26	6.47200360994e+19	4.49475996948e+19	2.27225841419e+21	3.0086411026e+20	1.96546494665e+22	8.45180159652e+20	2.04850188354e+22	2.0927416759e+21	
2.51572941634e+26	2.51265231617e+26	9.10280028041e+19	6.32182917243e+19	3.15820461187e+21	4.18169575324e+20	2.95813041251e+22	1.27204047258e+21	3.32038789203e+22	3.39209355802e+21	
3.47829483893e+26	3.47419340615e+26	1.27521379797e+20	8.85626359123e+19	4.36407583923e+21	5.77835099028e+20	4.36289376577e+22	1.87610775285e+21	5.15296673368e+22	5.26424398861e+21	
4.77327540176e+26	4.76835892436e+26	1.75079838672e+20	1.21591595072e+20	6.01427809658e+21	7.96332747692e+20	6.27889512692e+22	2.70001345138e+21	7.74402112698e+22	7.91124461525e+21	
6.52244375165e+26	6.51616825666e+26	2.40611562063e+20	1.67102705395e+20	8.15652883873e+21	1.07998037993e+21	8.92363069562e+22	3.83728251617e+21	1.13609582975e+23	1.16062737924e+22	
8.78897192781e+26	8.78096800232e+26	3.26212246825e+20	2.26551563003e+20	1.10243952449e+22	1.4597035389e+21	1.25090168431e+23	5.37904099227e+21	1.63656439008e+23	1.67190065935e+22	
1.18575751339e+27	1.18477518771e+27	4.38933480884e+20	3.04835241388e+20	1.49147474439e+22	1.97480953084e+21	1.73430225963e+23	7.45771753092e+21	2.32655790442e+23	2.37678942007e+22	
1.57874781997e+27	1.57751277132e+27	5.95290056682e+20	4.13423058193e+20	1.96911914056e+22	2.60723813076e+21	2.39873313725e+23	1.03148396084e+22	3.26593462841e+23	3.33644361557e+22	
2.10802222157e+27	2.10649902464e+27	7.93128998571e+20	5.50819749094e+20	2.62775552207e+22	3.47931180835e+21	3.25756788695e+23	1.40079152144e+22	4.51565525768e+23	4.61313933352e+22	
2.6886424039e+27	2.68715874507e+27	1.0403719884e+21	7.22527245599e+20	3.3350085337e+22	4.41575492694e+21	4.42697735368e+23	1.90364835442e+22	6.2085367981e+23	6.34255867361e+22	
3.47529724653e+27	3.47372723646e+27	1.33399353281e+21	9.26444234365e+20	4.34922435104e+22	5.7586353722e+21	5.94727792485e+23	2.55739046601e+22	8.51515376609e+23	8.69895581211e+22	
4.48915260153e+27	4.48729450023e+27	1.7298093825e+21	1.20133506661e+21	5.59423544962e+22	7.40710441206e+21	7.93320219915e+23	3.41135338075e+22	1.15334531381e+24	1.17823902731e+23	
5.69374203719e+27	5.69241314312e+27	2.22647923506e+21	1.54626748617e+21	7.0060615448e+22	9.27644134466e+21	1.07715971726e+24	4.63188553819e+22	1.54771594038e+24	1.58111938217e+23	
7.09053555171e+27	7.08943661637e+27	2.81423721639e+21	1.95446008606e+21	8.95555500993e+22	1.18576759127e+22	1.37635704957e+24	5.91845665991e+22	2.07370719258e+24	2.11845962478e+23	
9.01941127213e+27	9.0183819323e+27	3.52987839626e+21	2.45146595807e+21	1.11310881734e+23	1.47382088801e+22	1.77701291869e+24	7.64130592774e+22	2.79362976907e+24	2.85391648017e+23	
1.13955312336e+28	1.13951557397e+28	4.50303136975e+21	3.12731044277e+21	1.42197484133e+23	1.88277654564e+22	2.31273990691e+24	9.94497482868e+22	3.59993249897e+24	3.67761506872e+23	
