7.0148464747e+19	6.99715005275e+19	1.91100826707e+13	1.32717880939e+13	9.18271183473e+14	1.21586751905e+14	1.85066528409e+15	7.95815713458e+13	1.22256715471e+15	1.24897022851e+14	
1.11696193396e+20	1.11414416314e+20	3.04286558159e+13	2.11324398189e+13	1.46214740506e+15	1.93600492956e+14	2.94678248809e+15	1.26716366721e+14	1.94667264415e+15	1.98871380426e+14	
1.77851926826e+20	1.77403258027e+20	4.84510250802e+13	3.36488203049e+13	2.32803921471e+15	3.08251779617e+14	4.6921110515e+15	2.01768290365e+14	3.09965335554e+15	3.1665947714e+14	
2.75376585582e+20	2.74676262486e+20	7.71187370321e+13	5.35582997911e+13	3.57472001123e+15	4.73322735477e+14	7.47116769175e+15	3.21272176989e+14	4.93552470336e+15	5.04211436799e+14	
3.93183798889e+20	3.92190151605e+20	1.17444572637e+14	8.15642318428e+13	5.05845133881e+15	6.69781067885e+14	1.18962117617e+16	5.11556159399e+14	7.85875106126e+15	8.0284719502e+14	
5.23512183374e+20	5.22260378149e+20	1.6486230374e+14	1.14495451067e+14	6.6846897355e+15	8.8510823776e+14	1.89421332942e+16	8.14542070439e+14	1.2513354092e+16	1.27835977431e+15	
6.59922469091e+20	6.58463325036e+20	2.1672055759e+14	1.50510655987e+14	8.41843141619e+15	1.11466924663e+15	3.01612329135e+16	1.29698132321e+15	1.99247984077e+16	2.03551027234e+15	
8.0320519619e+20	8.01574894858e+20	2.71480277402e+14	1.88540935946e+14	1.01857599744e+16	1.34867699132e+15	4.76599454372e+16	2.04945404577e+15	3.17259136653e+16	3.24110798231e+15	
9.47962185506e+20	9.46223054231e+20	3.28218435101e+14	2.27945242576e+14	1.19972091705e+16	1.58852605657e+15	7.02755198955e+16	3.02196008544e+15	5.05166264323e+16	5.1607604716e+15	
1.09862104671e+21	1.09681790977e+21	3.85174547033e+14	2.67500961234e+14	1.38395727884e+16	1.83246779844e+15	9.59526589919e+16	4.12611718325e+15	7.96351434752e+16	8.1354980163e+15	
1.2481254327e+21	1.24624557707e+21	4.43021483311e+14	3.07675332599e+14	1.57329426168e+16	2.08316234915e+15	1.23532081245e+17	5.31207343812e+15	1.1675320919e+17	1.1927466595e+16	
1.38850610646e+21	1.38659665972e+21	5.01455171501e+14	3.48257010841e+14	1.76056102786e+16	2.33111526355e+15	1.5228553958e+17	6.54851244608e+15	1.58719297028e+17	1.6214702575e+16	
1.54471159048e+21	1.54282218526e+21	5.58931378219e+14	3.88173812823e+14	1.93920508199e+16	2.56765050166e+15	1.81635525057e+17	7.81060017341e+15	2.03878907978e+17	2.08281789013e+16	
1.69254455573e+21	1.69054879113e+21	6.20521339077e+14	4.30947387143e+14	2.12356719155e+16	2.8117560364e+15	2.12299199247e+17	9.12917423651e+15	2.50744292674e+17	2.56159064012e+16	
1.840690001e+21	1.83879408887e+21	6.75150041211e+14	4.6888648657e+14	2.31925054054e+16	3.07085094149e+15	2.42129324305e+17	1.04119024029e+16	2.98628112905e+17	3.05076653516e+16	
1.99326604344e+21	1.99134824521e+21	7.35311601877e+14	5.10667720738e+14	2.49264425813e+16	3.3004320173e+15	2.72707143626e+17	1.17267779222e+16	3.47192145421e+17	3.5468901415e+16	
2.12855208255e+21	2.12661365648e+21	7.9003524307e+14	5.48672592421e+14	2.66993678555e+16	3.53517457235e+15	3.02948900858e+17	1.30271993132e+16	3.96350400176e+17	4.0490829411e+16	
2.27580047567e+21	2.27391511779e+21	8.42436175438e+14	5.85064129481e+14	2.86255739001e+16	3.79021209554e+15	3.32861134154e+17	1.43134468157e+16	4.46531565327e+17	4.56172398796e+16	
2.40128914613e+21	2.3994106264e+21	9.05441346509e+14	6.2882006223e+14	2.99504731525e+16	3.96563184163e+15	3.64849393556e+17	1.56889606322e+16	4.96751493556e+17	5.07475971742e+16	
2.54098642367e+21	2.53915037911e+21	9.56028829756e+14	6.63951968824e+14	3.16746713482e+16	4.19392356412e+15	3.92663591978e+17	1.68849844273e+16	5.44312037431e+17	5.56062658972e+16	
2.56837815121e+21	2.56696085715e+21	9.93835654845e+14	6.90208258471e+14	3.18583201679e+16	4.21823611016e+15	4.22895655241e+17	1.81849725868e+16	5.93082599608e+17	6.0588530094e+16	
2.63100632066e+21	2.62981772984e+21	1.00991229456e+15	7.01373282182e+14	3.29262101795e+16	4.35962882823e+15	4.50244243903e+17	1.93609639786e+16	6.44647688838e+17	6.58562594831e+16	
2.693436079e+21	2.69232124119e+21	1.0378642506e+15	7.2078619254e+14	3.35647213002e+16	4.44417110204e+15	4.7598232722e+17	2.04676986717e+16	6.91992933968e+17	7.06928854402e+16	
2.70748316398e+21	2.70685124945e+21	1.05873343129e+15	7.35279743705e+14	3.3315161724e+16	4.41112516132e+15	5.12210033463e+17	2.20255010329e+16	7.35968511367e+17	7.51852486381e+16	
2.6723532543e+21	2.67193907635e+21	1.06065838451e+15	7.36616822987e+14	3.37526078253e+16	4.46904166583e+15	5.1873546274e+17	2.23060822419e+16	7.81559886997e+17	7.98426639437e+16	
2.69447133495e+21	2.69416382855e+21	1.05452072952e+15	7.3235431375e+14	3.32531659829e+16	4.40291280191e+15	5.30867284656e+17	2.28277424797e+16	8.34572801493e+17	8.5258293653e+16	
2.69875907358e+21	2.69867014682e+21	1.06643529982e+15	7.40628695607e+14	3.36760737763e+16	4.45890602369e+15	5.47717142856e+17	2.35522947594e+16	8.52557927899e+17	8.70955186937e+16	
